ds,y
2015-04-17,17.2
2015-04-20,17.25
2015-04-21,17.2
2015-04-22,17.05
2015-04-23,17.2
2015-04-24,17.3
2015-04-27,17.1
2015-04-28,17.2
2015-04-29,17.3
2015-04-30,17.4
2015-05-04,17.45
2015-05-05,17.5
2015-05-06,17.55
2015-05-07,17.15
2015-05-08,17.05
2015-05-11,16.9
2015-05-12,16.65
2015-05-13,16.1
2015-05-14,16.35
2015-05-15,16.35
2015-05-18,16.5
2015-05-19,16.6
2015-05-20,16.45
2015-05-21,16.3
2015-05-22,16.2
2015-05-25,16.0
2015-05-26,15.65
2015-05-27,15.2
2015-05-28,15.55
2015-05-29,15.85
2015-06-02,16.5
2015-06-03,16.4
2015-06-04,16.45
2015-06-05,16.35
2015-06-08,16.1
2015-06-09,16.05
2015-06-10,16.05
2015-06-11,16.05
2015-06-12,16.05
2015-06-15,16.1
2015-06-16,16.1
2015-06-17,16.05
2015-06-18,16.05
2015-06-19,16.05
2015-06-22,16.35
2015-06-23,16.0
2015-06-24,16.05
2015-06-25,16.1
2015-06-26,16.1
2015-06-29,16.3
2015-06-30,16.45
2015-07-01,16.5
2015-07-02,16.45
2015-07-03,16.35
2015-07-06,16.35
2015-07-07,16.35
2015-07-08,16.15
2015-07-09,16.0
2015-07-10,16.0
2015-07-13,15.85
2015-07-14,15.75
2015-07-15,15.7
2015-07-16,15.25
2015-07-17,15.15
2015-07-20,15.3
2015-07-21,15.5
2015-07-22,15.55
2015-07-23,15.45
2015-07-24,15.3
2015-07-27,15.45
2015-07-28,15.45
2015-07-29,15.2
2015-07-30,14.95
2015-07-31,14.4
2015-08-03,14.15
2015-08-04,14.0
2015-08-05,13.95
2015-08-06,13.9
2015-08-07,14.55
2015-08-10,15.35
2015-08-11,15.5
2015-08-12,15.6
2015-08-13,15.45
2015-08-14,15.0
2015-08-17,14.9
2015-08-18,14.85
2015-08-19,15.0
2015-08-20,15.1
2015-08-21,15.0
2015-08-24,14.35
2015-08-25,13.95
2015-08-26,13.45
2015-08-27,13.5
2015-08-28,14.15
2015-08-31,14.4
2015-09-01,14.6
2015-09-02,14.6
2015-09-03,15.2
2015-09-04,14.85
2015-09-07,14.6
2015-09-08,14.6
2015-09-09,14.4
2015-09-10,14.4
2015-09-11,14.55
2015-09-14,14.7
2015-09-15,15.15
2015-09-16,14.95
2015-09-17,15.0
2015-09-18,14.75
2015-09-21,14.9
2015-09-22,15.0
2015-09-23,15.1
2015-09-24,15.15
2015-09-25,15.15
2015-09-28,15.2
2015-09-29,15.15
2015-09-30,15.2
2015-10-01,14.95
2015-10-02,14.45
2015-10-05,14.65
2015-10-06,14.65
2015-10-07,14.65
2015-10-08,14.7
2015-10-09,14.8
2015-10-12,14.95
2015-10-13,15.0
2015-10-14,14.7
2015-10-15,14.4
2015-10-16,14.55
2015-10-19,14.75
2015-10-21,15.0
2015-10-22,14.95
2015-10-23,14.95
2015-10-26,14.5
2015-10-27,14.5
2015-10-28,14.55
2015-10-29,14.4
2015-10-30,14.35
2015-11-02,14.35
2015-11-03,14.45
2015-11-04,14.3
2015-11-05,14.95
2015-11-06,15.05
2015-11-09,15.05
2015-11-10,15.45
