Date,Price,Open,High,Low,Vol.,Change %
2019-09-12,27.15,28.0,28.0,27.05,1170000.0,0.37
2019-09-11,27.05,27.0,27.4,26.95,14260000.0,0.37
2019-09-10,26.95,26.9,27.05,26.9,3280000.0,0.37
2019-09-09,26.85,26.85,26.95,26.7,2310000.0,0.19
2019-09-06,26.8,27.0,27.0,26.5,9510000.0,-0.19
2019-09-05,26.85,28.5,28.5,26.7,19370000.0,0.75
2019-09-04,26.65,26.2,27.0,26.2,12550000.0,1.72
2019-09-03,26.2,25.55,26.7,25.55,5590000.0,-6.6
2019-09-02,28.05,28.05,28.3,27.2,12680000.0,-0.36
2019-08-30,28.15,28.25,28.3,28.0,3350000.0,-0.35
2019-08-29,28.25,28.0,28.4,28.0,1410000.0,0.89
2019-08-28,28.0,29.0,29.0,27.95,2320000.0,-0.71
2019-08-27,28.2,28.2,28.3,28.05,4930000.0,-0.35
2019-08-26,28.3,28.9,28.9,28.0,1400000.0,-2.08
2019-08-23,28.9,29.1,29.1,28.75,220300.0,-0.34
2019-08-22,29.0,29.1,29.2,28.95,20130000.0,-0.34
2019-08-21,29.1,29.3,29.35,28.95,4230000.0,-0.68
2019-08-20,29.3,29.9,29.9,28.95,33720000.0,-0.51
2019-08-19,29.45,29.3,29.55,29.0,13620000.0,0.86
2019-08-16,29.2,28.75,29.6,28.65,23350000.0,2.46
2019-08-15,28.5,28.55,28.75,27.7,11500000.0,1.79
2019-08-14,28.0,27.65,28.15,27.65,6580000.0,0.36
2019-08-13,27.9,27.65,28.15,27.5,4050000.0,0.9
2019-08-09,27.65,27.3,28.0,27.2,10390000.0,1.28
2019-08-08,27.3,27.05,27.5,27.05,2830000.0,0.37
2019-08-07,27.2,27.5,27.5,27.0,6140000.0,-0.91
2019-08-06,27.45,27.6,27.6,27.3,3600000.0,-0.54
2019-08-05,27.6,27.65,27.65,27.5,1620000.0,0.0
2019-08-02,27.6,28.0,28.0,27.5,1660000.0,0.18
2019-08-01,27.55,27.5,28.0,27.5,2420000.0,0.55
2019-07-31,27.4,27.5,27.55,27.25,10860000.0,-0.18
2019-07-30,27.45,27.6,27.6,27.4,6600000.0,-0.36
2019-07-29,27.55,27.55,27.75,27.5,898600.0,-0.18
2019-07-26,27.6,27.8,27.8,27.5,5650000.0,0.36
2019-07-25,27.5,27.7,27.95,27.35,12020000.0,0.0
2019-07-24,27.5,27.5,27.8,27.35,7560000.0,0.92
2019-07-23,27.25,28.0,28.0,27.2,6860000.0,-1.98
2019-07-22,27.8,28.0,28.0,27.5,3410000.0,-0.18
2019-07-19,27.85,27.65,28.0,27.65,1880000.0,0.36
2019-07-18,27.75,28.0,28.0,27.5,9860000.0,-0.72
2019-07-17,27.95,27.5,28.05,27.5,8950000.0,0.9
2019-07-16,27.7,27.5,28.0,27.3,3400000.0,0.73
2019-07-15,27.5,27.75,27.75,27.25,2830000.0,-0.9
2019-07-12,27.75,27.75,28.1,27.5,3070000.0,1.09
2019-07-11,27.45,27.15,27.8,27.15,594900.0,-0.18
2019-07-10,27.5,27.5,27.75,27.2,2980000.0,1.85
2019-07-09,27.0,27.5,27.5,27.0,10080000.0,-2.0
